Game,n_splits,n_countries,n_events,rule_name,distance,distance_std
1952 Summer,100,69,149,Plurality,0.047,0.01
1952 Summer,100,69,149,Plurality Veto,0.049,0.012
1952 Summer,100,69,149,Anti-Plurality,0.064,0.012
1952 Winter,100,30,22,Borda,0.037,0.01
1952 Winter,100,30,22,Plurality Veto,0.053,0.024
1952 Winter,100,30,22,Anti-Plurality,0.066,0.045
1952 Winter,100,30,22,Two Approval,0.085,0.025
1952 Winter,100,30,22,Plurality,0.088,0.029
1956 Summer,100,72,151,Borda,0.043,0.011
1956 Summer,100,72,151,Two Approval,0.052,0.012
1956 Summer,100,72,151,Plurality Veto,0.059,0.014
1956 Summer,100,72,151,Plurality,0.06,0.014
1956 Summer,100,72,151,Anti-Plurality,0.076,0.017
1956 Winter,100,32,24,Borda,0.038,0.009
1956 Winter,100,32,24,Plurality Veto,0.052,0.027
1956 Winter,100,32,24,Anti-Plurality,0.06,0.045
1956 Winter,100,32,24,Two Approval,0.086,0.028
1956 Winter,100,32,24,Plurality,0.1,0.031
1960 Summer,100,84,150,Borda,0.038,0.009
1960 Summer,100,84,150,Two Approval,0.063,0.012
1960 Summer,100,84,150,Plurality,0.067,0.012
1960 Summer,100,84,150,Plurality Veto,0.067,0.013
1960 Summer,100,84,150,Anti-Plurality,0.08,0.013
1960 Winter,100,30,27,Borda,0.044,0.014
1960 Winter,100,30,27,Two Approval,0.092,0.029
1960 Winter,100,30,27,Plurality Veto,0.093,0.035
1960 Winter,100,30,27,Plurality,0.096,0.036
1960 Winter,100,30,27,Anti-Plurality,0.137,0.039
1964 Summer,100,93,163,Borda,0.044,0.01
1964 Summer,100,93,163,Two Approval,0.054,0.012
1964 Summer,100,93,163,Plurality,0.059,0.012
1964 Summer,100,93,163,Plurality Veto,0.059,0.014
1964 Summer,100,93,163,Anti-Plurality,0.074,0.016
1964 Winter,100,36,34,Borda,0.037,0.01
1964 Winter,100,36,34,Two Approval,0.081,0.026
1964 Winter,100,36,34,Plurality Veto,0.089,0.03
1964 Winter,100,36,34,Plurality,0.092,0.029
1964 Winter,100,36,34,Anti-Plurality,0.111,0.037
1968 Summer,100,112,172,Borda,0.041,0.008
1968 Summer,100,112,172,Two Approval,0.054,0.009
1968 Summer,100,112,172,Plurality Veto,0.056,0.01
1968 Summer,100,112,172,Plurality,0.058,0.011
1968 Summer,100,112,172,Anti-Plurality,0.069,0.011
1968 Winter,100,37,35,Borda,0.032,0.009
1968 Winter,100,37,35,Two Approval,0.073,0.028
1968 Winter,100,37,35,Plurality Veto,0.102,0.037
1968 Winter,100,37,35,Plurality,0.104,0.032
1968 Winter,100,37,35,Anti-Plurality,0.122,0.041
1972 Summer,100,121,193,Borda,0.045,0.008
1972 Summer,100,121,193,Two Approval,0.063,0.012
1972 Summer,100,121,193,Plurality,0.065,0.01
1972 Summer,100,121,193,Plurality Veto,0.067,0.013
1972 Summer,100,121,193,Anti-Plurality,0.079,0.013
1972 Winter,100,35,35,Borda,0.031,0.009
1972 Winter,100,35,35,Two Approval,0.073,0.031
1972 Winter,100,35,35,Plurality Veto,0.085,0.033
1972 Winter,100,35,35,Plurality,0.091,0.036
1972 Winter,100,35,35,Anti-Plurality,0.11,0.043
1976 Summer,100,92,198,Borda,0.042,0.008
1976 Summer,100,92,198,Two Approval,0.053,0.011
1976 Summer,100,92,198,Plurality,0.06,0.013
1976 Summer,100,92,198,Plurality Veto,0.06,0.011
1976 Summer,100,92,198,Anti-Plurality,0.074,0.015
1976 Winter,100,37,37,Borda,0.025,0.006
1976 Winter,100,37,37,Two Approval,0.07,0.022
1976 Winter,100,37,37,Plurality,0.091,0.031
1976 Winter,100,37,37,Plurality Veto,0.098,0.028
1976 Winter,100,37,37,Anti-Plurality,0.106,0.038
1980 Summer,100,80,203,Borda,0.039,0.009
1980 Summer,100,80,203,Two Approval,0.052,0.01
1980 Summer,100,80,203,Plurality,0.058,0.012
1980 Summer,100,80,203,Plurality Veto,0.059,0.012
1980 Summer,100,80,203,Anti-Plurality,0.074,0.014
1980 Winter,100,37,38,Borda,0.028,0.008
1980 Winter,100,37,38,Two Approval,0.068,0.023
1980 Winter,100,37,38,Plurality Veto,0.083,0.028
1980 Winter,100,37,38,Plurality,0.089,0.03
1980 Winter,100,37,38,Anti-Plurality,0.105,0.035
1984 Summer,100,140,221,Borda,0.044,0.008
1984 Summer,100,140,221,Two Approval,0.068,0.011
1984 Summer,100,140,221,Plurality Veto,0.07,0.012
1984 Summer,100,140,221,Plurality,0.071,0.011
1984 Summer,100,140,221,Anti-Plurality,0.082,0.012
1984 Winter,100,49,39,Borda,0.037,0.011
1984 Winter,100,49,39,Two Approval,0.083,0.034
1984 Winter,100,49,39,Plurality,0.086,0.036
1984 Winter,100,49,39,Plurality Veto,0.091,0.035
1984 Winter,100,49,39,Anti-Plurality,0.118,0.037
1988 Summer,100,159,237,Borda,0.046,0.008
1988 Summer,100,159,237,Two Approval,0.071,0.011
1988 Summer,100,159,237,Plurality,0.075,0.011
1988 Summer,100,159,237,Plurality Veto,0.077,0.011
1988 Summer,100,159,237,Anti-Plurality,0.088,0.013
1988 Winter,100,57,46,Borda,0.03,0.009
1988 Winter,100,57,46,Two Approval,0.07,0.025
1988 Winter,100,57,46,Plurality Veto,0.078,0.023
1988 Winter,100,57,46,Plurality,0.082,0.022
1988 Winter,100,57,46,Anti-Plurality,0.102,0.029
1992 Summer,100,169,257,Borda,0.045,0.008
1992 Summer,100,169,257,Two Approval,0.065,0.01
1992 Summer,100,169,257,Plurality Veto,0.072,0.011
1992 Summer,100,169,257,Plurality,0.073,0.011
1992 Summer,100,169,257,Anti-Plurality,0.084,0.01
1992 Winter,100,64,57,Borda,0.028,0.009
1992 Winter,100,64,57,Two Approval,0.076,0.028
1992 Winter,100,64,57,Plurality,0.08,0.03
1992 Winter,100,64,57,Plurality Veto,0.082,0.027
1992 Winter,100,64,57,Anti-Plurality,0.101,0.038
1994 Winter,100,67,61,Borda,0.025,0.008
1994 Winter,100,67,61,Two Approval,0.05,0.017
1994 Winter,100,67,61,Plurality Veto,0.054,0.017
1994 Winter,100,67,61,Plurality,0.059,0.016
1994 Winter,100,67,61,Anti-Plurality,0.071,0.019
1996 Summer,100,197,271,Borda,0.056,0.008
1996 Summer,100,197,271,Two Approval,0.066,0.008
1996 Summer,100,197,271,Plurality,0.07,0.009
1996 Summer,100,197,271,Plurality Veto,0.072,0.009
1996 Summer,100,197,271,Anti-Plurality,0.084,0.01
1998 Winter,100,72,68,Borda,0.033,0.008
1998 Winter,100,72,68,Two Approval,0.049,0.013
1998 Winter,100,72,68,Plurality Veto,0.056,0.016
1998 Winter,100,72,68,Plurality,0.057,0.013
1998 Winter,100,72,68,Anti-Plurality,0.072,0.016
2000 Summer,100,200,300,Borda,0.057,0.009
2000 Summer,100,200,300,Two Approval,0.068,0.009
2000 Summer,100,200,300,Plurality,0.07,0.011
2000 Summer,100,200,300,Plurality Veto,0.072,0.011
2000 Summer,100,200,300,Anti-Plurality,0.085,0.01
2002 Winter,100,77,78,Borda,0.033,0.009
2002 Winter,100,77,78,Two Approval,0.06,0.017
2002 Winter,100,77,78,Plurality,0.069,0.019
2002 Winter,100,77,78,Plurality Veto,0.071,0.02
2002 Winter,100,77,78,Anti-Plurality,0.09,0.024
2004 Summer,100,201,301,Borda,0.054,0.007
2004 Summer,100,201,301,Two Approval,0.063,0.009
2004 Summer,100,201,301,Plurality,0.068,0.009
2004 Summer,100,201,301,Plurality Veto,0.068,0.01
2004 Summer,100,201,301,Anti-Plurality,0.081,0.012
2006 Winter,100,79,84,Borda,0.024,0.006
2006 Winter,100,79,84,Two Approval,0.047,0.013
2006 Winter,100,79,84,Plurality Veto,0.049,0.015
2006 Winter,100,79,84,Plurality,0.05,0.015
2006 Winter,100,79,84,Anti-Plurality,0.067,0.019
2008 Summer,100,204,302,Borda,0.057,0.009
2008 Summer,100,204,302,Two Approval,0.067,0.009
2008 Summer,100,204,302,Plurality,0.073,0.011
2008 Summer,100,204,302,Plurality Veto,0.074,0.01
2008 Summer,100,204,302,Anti-Plurality,0.085,0.011
2010 Winter,100,82,86,Borda,0.025,0.008
2010 Winter,100,82,86,Two Approval,0.054,0.022
2010 Winter,100,82,86,Plurality Veto,0.056,0.022
2010 Winter,100,82,86,Plurality,0.061,0.023
2010 Winter,100,82,86,Anti-Plurality,0.071,0.026
2012 Summer,100,205,302,Borda,0.057,0.008
2012 Summer,100,205,302,Two Approval,0.07,0.009
2012 Summer,100,205,302,Plurality Veto,0.073,0.011
2012 Summer,100,205,302,Plurality,0.077,0.01
2012 Summer,100,205,302,Anti-Plurality,0.087,0.012
2014 Winter,100,89,98,Borda,0.016,0.005
2014 Winter,100,89,98,Two Approval,0.044,0.018
2014 Winter,100,89,98,Plurality Veto,0.049,0.018
2014 Winter,100,89,98,Plurality,0.051,0.019
2014 Winter,100,89,98,Anti-Plurality,0.067,0.024
2016 Summer,100,207,306,Borda,0.051,0.007
2016 Summer,100,207,306,Two Approval,0.065,0.008
2016 Summer,100,207,306,Plurality Veto,0.072,0.011
2016 Summer,100,207,306,Plurality,0.074,0.008
2016 Summer,100,207,306,Anti-Plurality,0.086,0.011
