user_analysis_id,gender,years_past_phd,prop_submitted_to_eso,eso_opc_served,other_tac_served,ease_of_use,time_spent,time_spent_expertise,appropriate_criteria,non_expert_review_satisfaction,helpful_comments,appropriate_comments,comment_opc_compare,application_of_dpr,dpr_fast_track,confidentiality_concern,no_of_reviewers,bias_robustness
u415,Male,Less than 4 years,Less than 3 proposals,Never; I have not yet been on the OPC.,This is my first experience reviewing observing proposals.,Mostly easy; some improvements possible,Between 30 and 45 minutes,About the same,Mostly appropriate; the criteria were clear but not easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,Fully; overall the comments will allow me to improve my proposed project,Fully; overall the comments were clear and appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,I think that the pool of eight peer reviewers (including some non-experts) are sufficient to assess the proposals.,I think that DPR review process is more robust against biases than the OPC review process.
u586,Female,Negative; I don't have my PhD yet.,Less than 3 proposals,Never; I have not yet been on the OPC.,This is my first experience reviewing observing proposals.,"Easy, no problems in usage",Between 30 and 45 minutes,Less time on proposals for which I am an expert,Mostly appropriate; the criteria were clear but not easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Fully; overall the comments will allow me to improve my proposed project,Fully; overall the comments were clear and appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours",I am indifferent.,I am more concerned about confidentiality issues in the DPR process than in the OPC process.,I think that the pool of eight peer reviewers (including some non-experts) are sufficient to assess the proposals.,I think that DPR review process is less robust against biases than the OPC review process.
u748,Male,More than 12 years,More than 10 proposals,I served as OPC panel member for one term.,I have served on multiple time allocation committees for various facilities.,Mostly easy; some improvements possible,Between 15 and 30 minutes,Less time on proposals for which I am an expert,Mostly appropriate; the criteria were clear but not easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,Fully; overall the comments will allow me to improve my proposed project,Fully; overall the comments were clear and appropriate,Of similar quality,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,I think that the pool of eight peer reviewers (including some non-experts) are sufficient to assess the proposals.,I think that DPR review process is as robust against biases as the OPC review process.
u981,Male,Between 4 and 12 years,More than 10 proposals,Never; I have not yet been on the OPC.,I have served on a time allocation committee before.,Mostly easy; some improvements possible,Between 30 and 45 minutes,Less time on proposals for which I am an expert,Mostly appropriate; the criteria were clear but not easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,Somewhat; some comments might help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,These raw comments were less helpful; the OPC edited comments were better.,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours",I am indifferent.,I am more concerned about confidentiality issues in the DPR process than in the OPC process.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I think that DPR review process is less robust against biases than the OPC review process.
u247,Male,Between 4 and 12 years,Between 3 and 10 proposals,Never; I have not yet been on the OPC.,I have served on a time allocation committee before.,"Easy, no problems in usage",Between 30 and 45 minutes,About the same,Mostly appropriate; the criteria were clear but not easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,Somewhat; some comments might help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,Of similar quality,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I have no strong opinion on this point.,I think that external experts (non-ESO facility users) are critical to the assessment of the proposals and must be added as reviewers.,
u832,Male,Less than 4 years,Between 3 and 10 proposals,Never; I have not yet been on the OPC.,This is my first experience reviewing observing proposals.,"Easy, no problems in usage",Between 30 and 45 minutes,Less time on proposals for which I am an expert,Mostly appropriate; the criteria were clear but not easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Somewhat; several comments were unclear or not fully appropriate,These raw comments were less helpful; the OPC edited comments were better.,"Short proposals, with total requested time less than 20 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am more concerned about confidentiality issues in the DPR process than in the OPC process.,I think that external experts (non-ESO facility users) are critical to the assessment of the proposals and must be added as reviewers.,I think that DPR review process is less robust against biases than the OPC review process.
u298,Male,More than 12 years,More than 10 proposals,I served more than one term on the OPC.,I have served on a time allocation committee before.,"Easy, no problems in usage",Between 30 and 45 minutes,Less time on proposals for which I am an expert,Mostly appropriate; the criteria were clear but not easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I have concerns with distributed peer review being used for the 'Fast Track' calls.,I have no strong opinion on this point.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I think that DPR review process is less robust against biases than the OPC review process.
u178,Male,More than 12 years,More than 10 proposals,Never; I have not yet been on the OPC.,I have served on a time allocation committee before.,"Easy, no problems in usage",Between 15 and 30 minutes,Less time on proposals for which I am an expert,Somewhat appropriate; the criteria can be clarified but were applicable,Somewhat; I struggled and might not always have been able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,Of similar quality,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am less concerned about confidentiality issues in the DPR process than in the OPC process.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I think that DPR review process is as robust against biases as the OPC review process.
u268,Male,More than 12 years,More than 10 proposals,I served as OPC panel member for one term.,I have served on multiple time allocation committees for various facilities.,"Easy, no problems in usage",Between 30 and 45 minutes,About the same,Fully appropriate; the criteria were clear and easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,Somewhat; some comments might help me to strengthen my proposed project,Fully; overall the comments were clear and appropriate,Of similar quality,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I am indifferent.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,I have no strong opinion on this point.,I have no strong opinion on this point.
u966,Male,Less than 4 years,Between 3 and 10 proposals,Never; I have not yet been on the OPC.,This is my first experience reviewing observing proposals.,"Easy, no problems in usage",Between 15 and 30 minutes,About the same,Mostly appropriate; the criteria were clear but not easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Short proposals, with total requested time less than 20 hours",I am indifferent.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I think that DPR review process is as robust against biases as the OPC review process.
u098,Male,More than 12 years,More than 10 proposals,I served as OPC panel member for one term.,I have served on a time allocation committee before.,"Easy, no problems in usage",Between 30 and 45 minutes,Less time on proposals for which I am an expert,Mostly appropriate; the criteria were clear but not easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Fully; overall the comments were clear and appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I think that DPR review process is more robust against biases than the OPC review process.
u567,Male,Between 4 and 12 years,More than 10 proposals,Never; I have not yet been on the OPC.,This is my first experience reviewing observing proposals.,"Easy, no problems in usage",Between 30 and 45 minutes,Less time on proposals for which I am an expert,Fully appropriate; the criteria were clear and easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Somewhat; some comments might help me to strengthen my proposed project,Fully; overall the comments were clear and appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Regular proposals, with total requested time between 1 and 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am more concerned about confidentiality issues in the DPR process than in the OPC process.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I have no strong opinion on this point.
u269,Male,Between 4 and 12 years,More than 10 proposals,Never; I have not yet been on the OPC.,I have served on a time allocation committee before.,"Easy, no problems in usage",Between 15 and 30 minutes,About the same,Mostly appropriate; the criteria were clear but not easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Fully; overall the comments will allow me to improve my proposed project,Fully; overall the comments were clear and appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,I think that the pool of eight peer reviewers (including some non-experts) are sufficient to assess the proposals.,I have no strong opinion on this point.
u374,Female,More than 12 years,More than 10 proposals,I served as OPC panel member for one term.,I have served on a time allocation committee before.,"Easy, no problems in usage",Between 30 and 45 minutes,Less time on proposals for which I am an expert,Fully appropriate; the criteria were clear and easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Somewhat; some comments might help me to strengthen my proposed project,Fully; overall the comments were clear and appropriate,Of similar quality,"Regular proposals, with total requested time between 1 and 100 hours",I am indifferent.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I have no strong opinion on this point.
u284,Male,Less than 4 years,Between 3 and 10 proposals,Never; I have not yet been on the OPC.,This is my first experience reviewing observing proposals.,"Easy, no problems in usage",Between 30 and 45 minutes,About the same,Fully appropriate; the criteria were clear and easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Somewhat; some comments might help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,Of similar quality,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I think that DPR review process is more robust against biases than the OPC review process.
u710,Male,Between 4 and 12 years,More than 10 proposals,Never; I have not yet been on the OPC.,I have served on multiple time allocation committees for various facilities.,"Easy, no problems in usage",Between 15 and 30 minutes,Less time on proposals for which I am an expert,Fully appropriate; the criteria were clear and easy to apply,Not satisfactorily; I might have unintentionally provided an unfair evaluation,Mostly; several comments will help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,Of similar quality,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am more concerned about confidentiality issues in the DPR process than in the OPC process.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I think that DPR review process is as robust against biases as the OPC review process.
u910,Female,More than 12 years,More than 10 proposals,I served more than one term on the OPC.,I have served on a time allocation committee before.,"Easy, no problems in usage",Between 30 and 45 minutes,Less time on proposals for which I am an expert,Somewhat appropriate; the criteria can be clarified but were applicable,Somewhat; I struggled and might not always have been able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Fully; overall the comments were clear and appropriate,Of similar quality,"Regular proposals, with total requested time between 1 and 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,I think that external experts (non-ESO facility users) are critical to the assessment of the proposals and must be added as reviewers.,I think that DPR review process is less robust against biases than the OPC review process.
u396,Male,Between 4 and 12 years,Between 3 and 10 proposals,Never; I have not yet been on the OPC.,This is my first experience reviewing observing proposals.,"Easy, no problems in usage",Between 30 and 45 minutes,Less time on proposals for which I am an expert,Mostly appropriate; the criteria were clear but not easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,Of similar quality,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,I think that the pool of eight peer reviewers (including some non-experts) are sufficient to assess the proposals.,I think that DPR review process is as robust against biases as the OPC review process.
u036,Male,Between 4 and 12 years,More than 10 proposals,I served more than one term on the OPC.,I have served on a time allocation committee before.,"Easy, no problems in usage",Between 15 and 30 minutes,About the same,Fully appropriate; the criteria were clear and easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,,Mostly; some comments were not fully clear but mostly appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I have no strong opinion on this point.,I think that the pool of eight peer reviewers (including some non-experts) are sufficient to assess the proposals.,I think that DPR review process is as robust against biases as the OPC review process.
u682,Female,More than 12 years,Between 3 and 10 proposals,Never; I have not yet been on the OPC.,I have served on multiple time allocation committees for various facilities.,"Easy, no problems in usage",Over 45 minutes,Less time on proposals for which I am an expert,Mostly appropriate; the criteria were clear but not easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Regular proposals, with total requested time between 1 and 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,I think that the pool of eight peer reviewers (including some non-experts) are sufficient to assess the proposals.,I think that DPR review process is more robust against biases than the OPC review process.
u322,Male,More than 12 years,Less than 3 proposals,I served more than one term on the OPC.,I have served on multiple time allocation committees for various facilities.,"Easy, no problems in usage",Between 15 and 30 minutes,About the same,Somewhat appropriate; the criteria can be clarified but were applicable,Not satisfactorily; I might have unintentionally provided an unfair evaluation,Somewhat; some comments might help me to strengthen my proposed project,Somewhat; several comments were unclear or not fully appropriate,Of similar quality,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am less concerned about confidentiality issues in the DPR process than in the OPC process.,I think that external experts (non-ESO facility users) are critical to the assessment of the proposals and must be added as reviewers.,
u965,Male,Negative; I don't have my PhD yet.,Between 3 and 10 proposals,Never; I have not yet been on the OPC.,This is my first experience reviewing observing proposals.,"Easy, no problems in usage",Over 45 minutes,About the same,Fully appropriate; the criteria were clear and easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,These raw comments were less helpful; the OPC edited comments were better.,"Short proposals, with total requested time less than 20 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I have no strong opinion on this point.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I think that DPR review process is more robust against biases than the OPC review process.
u959,Male,More than 12 years,Between 3 and 10 proposals,Never; I have not yet been on the OPC.,I have served on a time allocation committee before.,"Easy, no problems in usage",Between 30 and 45 minutes,Less time on proposals for which I am an expert,Mostly appropriate; the criteria were clear but not easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Regular proposals, with total requested time between 1 and 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I think that DPR review process is more robust against biases than the OPC review process.
u765,Male,Between 4 and 12 years,Between 3 and 10 proposals,Never; I have not yet been on the OPC.,I have served on a time allocation committee before.,"Easy, no problems in usage",Between 30 and 45 minutes,Less time on proposals for which I am an expert,Fully appropriate; the criteria were clear and easy to apply,Somewhat; I struggled and might not always have been able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Fully; overall the comments were clear and appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Short proposals, with total requested time less than 20 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I think that DPR review process is more robust against biases than the OPC review process.
u418,Female,Between 4 and 12 years,Between 3 and 10 proposals,I am currently and OPC panel member.,I have served on a time allocation committee before.,Mostly easy; some improvements possible,Between 15 and 30 minutes,Less time on proposals for which I am an expert,Fully appropriate; the criteria were clear and easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Regular proposals, with total requested time between 1 and 100 hours",I have concerns with distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,I think that the pool of eight peer reviewers (including some non-experts) are sufficient to assess the proposals.,I think that DPR review process is more robust against biases than the OPC review process.
u947,Male,Between 4 and 12 years,Less than 3 proposals,Never; I have not yet been on the OPC.,This is my first experience reviewing observing proposals.,Mostly easy; some improvements possible,Over 45 minutes,About the same,Fully appropriate; the criteria were clear and easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,Mostly; several comments will help me to strengthen my proposed project,Fully; overall the comments were clear and appropriate,Of similar quality,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am less concerned about confidentiality issues in the DPR process than in the OPC process.,I think that the pool of eight peer reviewers (including some non-experts) are sufficient to assess the proposals.,I think that DPR review process is more robust against biases than the OPC review process.
u939,Male,Between 4 and 12 years,More than 10 proposals,Never; I have not yet been on the OPC.,I have served on multiple time allocation committees for various facilities.,"Easy, no problems in usage",Between 15 and 30 minutes,Less time on proposals for which I am an expert,Mostly appropriate; the criteria were clear but not easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,Somewhat; some comments might help me to strengthen my proposed project,Mostly; some comments were not fully clear but mostly appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I would support distributed peer review being used for the 'Fast Track' calls.,I am neither more nor less concerned about confidentiality issues in the DPR process than in the OPC process.,I think that the pool of eight peer reviewers (including some non-experts) are sufficient to assess the proposals.,I think that DPR review process is more robust against biases than the OPC review process.
u149,Male,Less than 4 years,Between 3 and 10 proposals,Never; I have not yet been on the OPC.,This is my first experience reviewing observing proposals.,"Easy, no problems in usage",Between 15 and 30 minutes,Less time on proposals for which I am an expert,Mostly appropriate; the criteria were clear but not easy to apply,Mostly; I sometimes missed the expertise but was still able to evaluate fairly,Fully; overall the comments will allow me to improve my proposed project,Mostly; some comments were not fully clear but mostly appropriate,These raw comments were better; the OPC edited comments were less helpful.,"Short proposals, with total requested time less than 20 hours, Regular proposals, with total requested time between 1 and 100 hours, Large proposals, with total requested time more than 100 hours",I have concerns with distributed peer review being used for the 'Fast Track' calls.,I have no strong opinion on this point.,"I think that the pool of eight peer reviewers are sufficient to assess the proposals, provided that they have some expertise in the field.",I think that DPR review process is as robust against biases as the OPC review process.
